post_title,post_name,post_content,post_status,post_password,sku,parent_sku,stock,regular_price,sale_price,visibility,stock_status,manage_stock,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,attribute:pa_gold-colour,attribute_data:pa_gold-colour,attribute_default:pa_gold-colour,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute_default:pa_metal,attribute:pa_metal-purity,attribute_data:pa_metal-purity,attribute_default:pa_metal-purity,attribute:pa_shape,attribute_data:pa_shape,attribute_default:pa_shape,attribute:pa_style,attribute_data:pa_style,attribute_default:pa_style
"Year of the Tiger Necklace with Black Agate and Diamond",year-of-the-tiger-necklace-with-black-agate-and-diamond,"Year of the Tiger Necklace
<ul>
 	<li>2022 Chinese New Year collection</li>
 	<li>18k yellow gold</li>
 	<li>Black agate 2.46ct. tw.</li>
 	<li>Mother of Pearl 0.69ct. tw.</li>
 	<li>Round diamond 0.03ct. tw.</li>
</ul>
Style: P33168KY18AB001",publish,,P33168KY18AB001,,,500,,,instock,no,simple,,"Necklaces & Pendants","CNY|Year of the Tiger",,,,"Black Agate|Diamond|Mother of Pearl",0|1|0,,,,,,,,,,,,,
"Year of the Tiger Necklace with Black Agate, Sapphire Diamond",year-of-the-tiger-necklace-with-black-agate-sapphire-diamond,"Year of the Tiger Necklace
<ul>
 	<li>2022 Chinese New Year collection</li>
 	<li>18k white gold</li>
 	<li>Black agate 2.46ct. tw.</li>
 	<li>Sapphire 0.08ct. tw.</li>
 	<li>Round diamond 0.01ct. tw.</li>
</ul>
Style: P33168KY18AB001",publish,,P33168KY18AB001-1,,,500,,,instock,no,simple,,"Necklaces & Pendants","CNY|Year of the Tiger",,,,"Black Agate|Diamond|Mother of Pearl",0|1|0,,,,,,,,,,,,,
"Aquarius Necklace in 18K Rose Gold in Diamond and Green Garnet",aquarius-necklace-in-18k-rose-gold-in-diamond-and-green-garnet,"Aquarius Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Green garnet</li>
 	<li>Customisable</li>
</ul>
Style: P31912KP18GG",publish,,P31912KP18GG,,,500,,,instock,no,simple,,"Necklaces & Pendants",zodiac,,,,"Diamond|Green garnet",0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
"Capricorn Necklace in 18K Rose Gold in Diamond and Green Garnet",capricorn-necklace-in-18k-rose-gold-in-diamond-and-green-garnet,"Capricorn Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Green garnet</li>
 	<li>Customisable</li>
</ul>
Style: P31911KP18GG",publish,,P31911KP18GG,,,500,,,instock,no,simple,,"Necklaces & Pendants",zodiac,,,,"Diamond|Green garnet",0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
"Sagittarius Necklace in 18K Rose Gold in Diamond and Ruby",sagittarius-necklace-in-18k-rose-gold-in-diamond-and-ruby,"Sagittarius Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Ruby</li>
 	<li>Customisable</li>
</ul>
Style: P31910KP18RB",publish,,P31910KP18RB,,,500,,,instock,no,simple,,"Necklaces & Pendants",zodiac,,,,Diamond|Ruby,0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
"Pisces Necklace in 18K Rose Gold in Diamond and Sapphire",pisces-necklace-in-18k-rose-gold-in-diamond-and-sapphire,"Pisces Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31913KP18SA001",publish,,P31913KP18SA001,,,500,,,instock,no,simple,,"Necklaces & Pendants",zodiac,,,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
"Scorpio Necklace in 18K Rose Gold with Diamond and Sapphire",scorpio-necklace-in-18k-rose-gold-diamond-sapphire,"Scorpio Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31909KP18SA",publish,,P31909KP18SA,,,500,,,instock,no,simple,,"Necklaces & Pendants",zodiac,,,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
"Libra Necklace in 18K Rose Gold with Diamond and Fancy Sapphire",libra-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire,"Scorpio Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31908KP18SP",publish,,P31908KP18SP,,,500,,,instock,no,simple,,"Necklaces & Pendants",zodiac,,,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
"Virgo Necklace in 18K Rose Gold with Diamond and Green Garnet",virgo-necklace-in-18k-rose-gold-with-diamond-and-green-garnet,"Virgo Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Green garnet</li>
 	<li>Customisable</li>
</ul>
Style: P31907KP18GG",publish,,P31907KP18GG,,,500,,,instock,no,simple,,"Necklaces & Pendants",zodiac,,,,"Diamond|Green garnet",0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
"Leo Necklace in 18K Rose Gold with Diamond and Ruby",leo-necklace-in-18k-rose-gold-with-diamond-and-ruby,"Leo Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Ruby</li>
 	<li>Customisable</li>
</ul>
Style: P31906KP18RB",publish,,P31906KP18RB,,,500,,,instock,no,simple,,"Necklaces & Pendants",zodiac,,,,Diamond|Ruby,0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
